video_id,title,duration_seconds,days_since_upload,views,likes,comments,channel_title,subscribers
TKYf8aWqeCE,Playstation 3 vs Xbox 360 Qual VALE A PENA em 2024?,700,413,47493,1775,212,Rk Play,1850000
0T9lBCUJ86k,"Todas las fases de los nuevos Sprunki Oc fase 1 - 5 😰 Nintendo Switch, XBOX & Playstation",1021,13,34986,369,58,sameeKG,100000
uX5R_ShgC1c,#best CONTROLLER #ps5 #gta #gtasanandreas #playstation #gaming #sony #gta6 #psgames #nintendo #ps4,11,14,4836,25,1,DEXTER GAMERS,24900
Ll-ZhL2sTBw,"Come giocare a una Xbox, senza avere una Xbox! 😱 #xbox #gaming #tv #giochi",55,859,1705670,64692,944,Infotricks ,26300
mtx5-SnR7pU,Playstation 5 VS Xbox Series X VS Nintendo Switch 🎮 - المقارنة الشاملة بين أجهزة الألعاب في 2023 🔥,810,982,14451,282,31,Yahya's Gaming World (YGW),4650
7evqimsysdo,Playstation 4 Slim vs Xbox One S,158,3189,30480,248,40,Digital Trends,1350000
rnPIF1pDmLU,Je vous présente ma collection de Consoles de Jeu PS5 Xbox Playstation NES Switch et les autres,1867,1791,24013,437,82,Hero Game Company,29200
0xtI6zByCFs,$100 AAA Games are Coming Soon,54,12,11782,683,34,whatchamacall,2300
FIVmyOIV1MQ,ROG Xbox Ally World Premiere Reveal Trailer | Xbox Games Showcase,102,134,2623848,48343,3083,Xbox,5670000
MqA6TGMPGDc,"ULTIMATE Minecraft Bedrock Shader GUIDE for PE, XBOX, PlayStation, Nintendo Switch, Windows 10",841,177,247483,4239,217,Perry Pines,35600
kYUpLVLt9qc,『FFT』「剣士アルガスとの出会い」のセリフの変化,50,14,12384,34,10,ちびたの勉強部屋,3320
NjPiD9YplLA,Evolution of PlayStation Handhelds (Animation),611,1654,1863688,27461,2185,Flatlife,655000
1YgtzCciqi4,Fazit nach 3 Jahren:  PlayStation 5 vs. Xbox Series X (Test),853,687,55520,996,248,mobiFlip,36100
Tssc1UEb27Y,"Unboxing every PlayStation FAT Console | Sony PS1, PS2, PS3, PS4, PS5 + Gameplay",1028,326,581706,5621,348,old8ox,11400
nA4KB6zgxds,J'ai acheté des VRAIES consoles sur TEMU ??? (Arnaque ouuuuu ?),1495,482,3235254,79043,1857,CYRILmp4,5190000
8-niJ4tkCZE,La TERRIBLE trahison à l'origine de la PlayStation,214,321,66832,1346,141,Les Echos,341000
qV_dH7cfbMs,Evolution of Xbox (Animation),839,1894,4910799,66928,5406,Flatlife,655000
QaSV1PrlBrI,Rhythm Sprout OUT NOW | PC Xbox PlayStation Nintendo Switch,54,992,120798,5619,35,tinyBuildGAMES,823000
FuFq1hs73W0,Davy jones ironiza  a sony o ps6 e ps5 #flowgames #davyjones #gamepass #games,41,24,30808,1114,67,Nintendo Ninja,4710
hwhZlj5ZQoo,Pablo Motos VS Nintendo Switch #nintendoswitch  #playstation  #xbox  #videojuegos,6,13,9245,166,10,Companyfields,14200
O9YEk-IgDrg,QUAL É O SEU UNIVERSO GAMER? 🎮🔥 PLAYSTATION • XBOX • NINTENDO NA FIB ⚡💚🔴🔵 #ps5 #xbox #nintendo,50,11,981,9,0,Feira dos Importados de Brasília,1330
Y8WpPBlX0ls,THE LEGEND OF BABOO,66,16,3,0,0,CAINESONFIRE,1040
pxyenY-PRGw,PLAYSTATION 5 y XBOX SERIES X EN  TIENDAS DE JAPON ! | AUSENCIA Y REVENDEDORES? PRECIOS,823,1796,718507,26744,1409,Japan Gemu,1120000
mW549943G-Y,Je viens de découvrir une fonctionnalité cachée de la PS3 #retro #ps3 #secret #collection #manette,59,969,1265063,72428,391,Astérion,697000
iHPQqV7XI1g,"The Best CONSOLE Optimization Guide For XBOX, PlayStation, & Switch",576,568,67949,1270,71,landon,1880
elYLlVT0qMQ,"Rhythm Sprout - Release Date Announcement [PC, Xbox, PlayStation, Nintendo Switch]",34,1012,77826,1454,52,tinyBuildGAMES,823000
Uy1vShBWG14,Compré el PLAYSTATION PORTAL 😐 ¿VALE LA PENA? Unboxing PS5 Portátil,635,705,469765,10412,1229,Ray Bacon,2820000
nYkfY5B7_oU,20 CONSOLES XBOX PLAYSTATION NINTENDO ENORME COLLECTION DEFIS CHANSONS ! DELIRES DE MAX,1176,2516,279391,5524,1660,Délires de Max,709000
6-bu9lHI5mE,PlayStation 4 vs. Xbox One: ¿Qué consola es mejor? | AtomiK.O.,517,1524,247558,7854,967,AtomiK.O.,831000
vPk3ctkc2z0,Time To See Marvel’s Wolverine Again? PlayStation State of Play 9.24.2025 Reaction! (Live 603),3900,26,42,3,0,Autistic Gaming+,1710
-WqAL-xsEtY,¡Así venden CONSOLAS con ‘MAGIA’ en SAN ANDRESITO! ⚠️ CUIDADO,654,11,28424,1058,314,Diego Mauri,8420
RJdbSxZ86rg,Evolution of PlayStation home menus (1995-2023),890,779,515635,5015,157,Jerry's Bits,3060
